669873.68 249856.65 665.78
669873.78 249855.33 665.69
669873.81 249854.94 665.73
669873.92 249853.61 665.72
669873.95 249853.18 665.65
669873.99 249852.74 665.72
669874.01 249852.33 665.67
669874.05 249851.9 665.67
669874.08 249851.51 665.71
669874.12 249851.05 665.73
669874.16 249850.64 665.77
669873.69 249860.01 665.9
669873.72 249859.57 665.85
669873.75 249859.1 665.78
669873.79 249858.65 665.77
669873.82 249858.24 665.76
669873.85 249857.77 665.74
669873.89 249857.37 665.75
669873.92 249856.92 665.68
669873.95 249856.52 665.69
669874.05 249855.19 665.66
669874.08 249854.73 665.6
669874.18 249853.48 665.63
669874.22 249853.03 665.59
669874.26 249852.59 665.64
669874.29 249852.16 665.59
669874.32 249851.71 665.6
669874.6 249851.41 665.46
669874.64 249850.98 665.53
669873.69 249863.65 666.1
669873.73 249863.19 666.1
669873.76 249862.78 666.07
669873.79 249862.35 666.06
669873.82 249861.93 666.02
669873.89 249861.03 665.99
669873.92 249860.59 665.93
669873.95 249860.14 665.92
669873.98 249859.71 665.86
669874.01 249859.29 665.85
669874.04 249858.85 665.79
669874.11 249857.91 665.68
669874.2 249856.59 665.54
669874.23 249856.17 665.53
669874.34 249854.87 665.54
669874.37 249854.44 665.53
669874.41 249854.01 665.56
669874.44 249853.58 665.55
669874.47 249853.16 665.52
669874.5 249852.74 665.53
669874.54 249852.3 665.53
669874.28 249861.54 666
669874.31 249861.12 665.95
669874.34 249860.65 665.93
669874.38 249860.21 665.9
669874.41 249859.77 665.86
669874.44 249859.32 665.82
669874.53 249858.03 665.7
669874.75 249854.92 665.39
669874.82 249854.02 665.38
669874.86 249853.6 665.41
669874.89 249853.16 665.41
669874.92 249852.73 665.4
669874.95 249852.3 665.33
669873.76 249868.45 666.33
669873.83 249867.59 666.25
669873.86 249867.21 666.27
669873.92 249866.29 666.2
669873.96 249865.86 666.19
669873.99 249865.43 666.19
669874.02 249865.01 666.19
669874.15 249863.26 666.09
669874.18 249862.85 666.08
669874.22 249862.38 666.04
669874.25 249861.97 666.02
669874.21 249869.33 666.33
669874.24 249868.88 666.29
669874.3 249868.01 666.25
669874.37 249867.14 666.22
669874.4 249866.72 666.23
669874.43 249866.32 666.21
669874.46 249865.85 666.17
669874.5 249865.42 666.2
669874.69 249862.83 666.05
669874.73 249862.37 666.01
669874.76 249861.96 666
669874.79 249861.48 665.96
669874.82 249861.07 665.93
669874.85 249860.64 665.92
669874.88 249860.22 665.87
669874.92 249859.76 665.86
669874.95 249859.3 665.8
669875.01 249858.41 665.72
669875.04 249857.97 665.69
669875.07 249857.56 665.65
669875.1 249857.13 665.62
669875.14 249856.67 665.58
669875.17 249856.19 665.53
669875.2 249855.78 665.49
669875.23 249855.3 665.45
669875.26 249854.88 665.4
669875.3 249854.44 665.38
669875.32 249854.03 665.33
669875.36 249853.54 665.28
669875.39 249853.1 665.26
669875.42 249852.65 665.21
669875.45 249852.2 665.17
669875.49 249851.76 665.15
669875.52 249851.34 665.1
669875.55 249850.92 665.13
669875.59 249850.48 665.12
669874.46 249869.15 666.3
669874.49 249868.75 666.31
669874.59 249867.42 666.22
669874.62 249867.01 666.21
669874.72 249865.73 666.18
669874.75 249865.3 666.15
669874.97 249862.27 666.01
669875.01 249861.82 665.99
669875.04 249861.36 665.96
669875.07 249860.93 665.91
669875.11 249860.48 665.92
669875.14 249860.06 665.89
669875.17 249859.61 665.82
669875.2 249859.2 665.79
669875.23 249858.73 665.74
669875.26 249858.27 665.7
